iter	Passed	Remaining
424	2098	491614
425	2102	491492
426	2107	491364
427	2111	491285
428	2116	491255
429	2121	491147
430	2126	491168
431	2131	491163
432	2135	491050
433	2139	490935
434	2144	490937
435	2149	490961
436	2155	490984
437	2160	491000
438	2165	491005
439	2169	490898
440	2174	490901
441	2179	490855
442	2183	490763
443	2188	490734
444	2193	490618
445	2197	490512
446	2201	490390
447	2206	490286
448	2210	490170
449	2215	490075
450	2220	490085
451	2225	490052
452	2229	489920
453	2233	489818
454	2238	489729
455	2242	489600
456	2247	489483
457	2251	489365
458	2255	489239
459	2260	489126
460	2264	488984
461	2269	488895
462	2273	488866
463	2278	488732
464	2282	488622
465	2287	488559
466	2291	488482
467	2296	488356
468	2300	488245
469	2305	488147
470	2309	488107
471	2314	488026
472	2319	488002
473	2323	487901
474	2328	487792
475	2332	487681
476	2336	487565
477	2341	487472
478	2345	487358
479	2350	487244
480	2354	487122
481	2358	487056
482	2363	486966
483	2367	486879
484	2372	486756
485	2376	486711
486	2381	486596
487	2385	486490
488	2390	486373
489	2394	486267
490	2398	486158
491	2403	486045
492	2407	485945
493	2412	485854
494	2416	485720
495	2421	485708
496	2425	485651
497	2430	485559
498	2434	485469
499	2439	485480
500	2444	485383
501	2449	485447
502	2453	485376
503	2459	485631
504	2464	485625
505	2469	485525
506	2473	485467
507	2478	485370
508	2483	485395
509	2488	485437
510	2493	485448
511	2498	485427
512	2502	485391
513	2507	485355
514	2512	485359
515	2517	485315
516	2521	485249
517	2526	485287
518	2531	485287
519	2536	485268
520	2541	485185
521	2545	485075
522	2549	484966
523	2554	484877
524	2558	484777
525	2562	484669
526	2567	484576
527	2571	484461
528	2576	484448
529	2580	484381
530	2585	484288
531	2590	484261
532	2594	484212
533	2599	484171
534	2603	484056
535	2609	484285
536	2615	484497
537	2621	484640
538	2626	484748
539	2633	485077
540	2638	485149
541	2644	485344
542	2649	485300
543	2654	485275
544	2660	485527
545	2667	485839
546	2673	486083
547	2679	486312
548	2685	486504
549	2690	486473
550	2696	486599
551	2701	486678
552	2707	486960
553	2713	487147
554	2720	487418
555	2726	487596
556	2732	487813
557	2737	487919
558	2744	488272
559	2750	488391
560	2756	488676
561	2763	488911
562	2768	488988
563	2774	489183
564	2779	489239
565	2784	489262
566	2789	489229
567	2795	489333
568	2799	489285
569	2804	489264
570	2811	489499
571	2817	489687
572	2822	489733
573	2826	489659
574	2832	489718
575	2836	489639
576	2841	489547
577	2846	489693
578	2852	489823
579	2857	489833
580	2862	489744
581	2868	489971
582	2874	490161
583	2879	490184
584	2883	490085
585	2888	490031
586	2892	489929
587	2897	489856
588	2901	489767
589	2906	489649
590	2910	489585
591	2915	489625
592	2920	489528
593	2924	489492
594	2929	489459
595	2934	489506
596	2940	489543
597	2945	489584
598	2950	489625
599	2955	489655
600	2960	489651
601	2965	489561
602	2970	489648
603	2975	489669
604	2980	489587
605	2984	489502
606	2988	489408
607	2993	489311
608	2997	489274
609	3002	489276
610	3007	489297
611	3013	489314
612	3017	489308
613	3028	490152
614	3033	490233
615	3038	490170
616	3042	490082
617	3047	490000
618	3051	489929
619	3055	489834
620	3060	489743
621	3064	489631
622	3068	489525
623	3073	489445
624	3077	489344
625	3081	489237
626	3086	489187
627	3090	489103
628	3095	489043
629	3099	488952
630	3104	488876
631	3109	488829
632	3114	488835
633	3118	488765
634	3122	488660
635	3127	488582
636	3131	488492
637	3136	488409
638	3140	488319
639	3144	488201
640	3149	488141
641	3153	488043
642	3157	487940
643	3162	487871
644	3166	487786
645	3171	487755
646	3175	487672
647	3180	487585
648	3184	487516
649	3188	487421
650	3193	487331
651	3197	487224
652	3201	487126
653	3206	487044
654	3211	487054
655	3215	487016
656	3220	487022
657	3226	487053
658	3230	487006
659	3235	486938
660	3239	486857
661	3243	486755
662	3248	486698
663	3252	486631
664	3257	486550
665	3261	486471
666	3266	486392
667	3270	486320
668	3275	486298
669	3280	486316
670	3284	486236
671	3289	486250
672	3294	486295
673	3299	486272
674	3304	486237
675	3308	486154
676	3313	486071
677	3317	485990
678	3321	485904
679	3326	485900
680	3332	485975
681	3336	485887
682	3340	485807
683	3345	485753
684	3349	485672
685	3354	485581
686	3358	485496
687	3362	485424
688	3367	485385
689	3371	485315
690	3376	485321
